Municipio,Cant. Habitantes,Adhesión FRICDe,Estado Digital,Trámites digitales,Salud,Educación,Medioambiente,Seguridad,App Municipal,Transparencia
Chascomús,42628.0,True,Básico,"Habilitaciones
Consumos
Tasas
Deudas
Chascomus | Inicio
Tributos Municipales","Hospital Municipal San Vicente De Paul
No cuenta con turnos online ni pagina web","Noticias
Educación","Centro ambiental
TOMASA
Cianobacterias | Mapa
PLAN AMBIENTAL CHASCOMUS 2020-2030
TOMASA v - Chascomús
Cianobacterias | Provincia de Buenos Aires","Aplicación de seguridad
BASSAP

Red ciudadana de cámaras
Cámaras Ciudadanas - Municipalidad de Chascomús",Si,"Presupuestos
Normativas
Informes SAMO
Municipalidad de Chascomús"
Chivilcoy,70839.0,True,Básico,"Sistema de Tickets
GDE
Reclamos
Licencias
Estacionamiento medido
Utiliza también Telegram para trámites
➡ TE DESCARGA ANYDESK AÚTOMATICAMENTE AL CLICKEAR EN CONEXIÓN REMOTA ⬅
Informe de deudas | Telegram
Municipalidad de Chivilcoy
","Hospital Municipal ""Dr. Santiago Fornos""
Hospital Primario de Moquehuá ""José Méndez""
Centro de Salud ""Nuestra Señora del Carmen""
Atención Primaria de la Salud
CAPS Barrio Sur
CAPS La Unión
CAPS San Donato
CAPS San José
CAPS Nueva Aurora
CAPS Mariano Moreno
CAPS José Ingenieros
CAPS Ángel Rigone
CAPS Daniel Pastorino
Portal para pacientes y profesionales online
Bienvenido - al Portal Web de Hospital Municipal Chivilcoy","Dependencias y centros educativos
Secretaría de Cultura y Educación – Municipalidad de Chivilcoy","Horarios de recolección de ramas y residuos
Recolección de residuos – Municipalidad de Chivilcoy","App de seguridad (botón de pánico)
Alerta Chivilcoy - Apps en Google Play",No,"Ordenanzas
Presupuestos
Boletines oficiales
Planta de personal
Transparencia – Municipalidad de Chivilcoy
"
Coronel Dorrego,15968.0,True,Básico,"Portal de empleados y contribuyentes
Pago de tasas municipales
Registro de propieda (link a página de Provincia)
Números de telefono de oficinas y áreas
Hacienda | Dorrego
Coronel Dorrego","Recomendaciones online de salud y bienestar
Turnos online
Hospital Dorrego
M.C.D. - Recomendaciones","No tiene información online
Los links a diplomaturas no funcionan","Campaña ""ECOPUNTOS""
Campaña PDF","No hay información más que su portal de noticias
M.C.D. - Noticias",No,"Ordenanzas
Presupuestos
transparencia fiscal - Sit. Financiera"
Coronel Suárez,42110.0,True,Desconocido,"No me carga su página
Municipalidad de Coronel Suárez",⎯,⎯,⎯,⎯,Quizás,⎯
Dolores,32032.0,True,Desconocido,"No me carga su página
Municipalidad de Dolores",⎯,⎯,⎯,⎯,Quizás,⎯
Exaltación de la Cruz,40159.0,True,Básico,"Guía de trámites
Pago de tasas
Licencias de conducir 
Exaltación de la Cruz","Hospital Municipal San José
Farmacias de Turno
Campañas de salud
Turnos online
TURNOS PARA CONSULTORIOS EXTERNOS
Salud y Calidad de Vida – Exaltación de la Cruz","Propuestas educativas y noticias
Politicas Educativas – Exaltación de la Cruz","Noticias y campañas
Campaña ECOCANJE
Registros de emprendedores mediante QR
Producción y Medio Ambiente – Exaltación de la Cruz","Noticias
Seguridad – Exaltación de la Cruz",No,"Boletines oficiales
Decretos
Funcionarios
Licitaciones
Hacienda – Secretaría de Coordinacion General – Exaltación de la Cruz"
General Alvarado,45526.0,True,Desconocido,"No me carga su página
Municipio Gral Alvarado",⎯,⎯,⎯,⎯,Quizás,⎯
General Arenales,16350.0,True,Básico,"Licencias
Rentas
Registro de PyMEs
Licencias y Permisos – Municipalidad de General Arenales
","Hospital Municipal Dr. Ignacio Pirovano
Contacto telefonico de centros de salud y hospital
No cuenta con turnos online
Hospital – Municipalidad de General Arenales","Programa Estudio Print
CIIE (Centro de Capacitación, Información e Investigación Educativa)
Portal de noticias
Educación – Municipalidad de General Arenales","Solo noticias
Noticias | Ambiente","No hay información más que su portal de noticias
Noticias | Seguridad",No,"Presupuestos
Declaraciones juradas
Gobierno Abierto – Municipalidad de General Arenales"
General Belgrano,20791.0,True,Avanzado,"Atención al Vecino (SAV) 
Boleta Electrónica 
Calendario de Eventos Cursos, Talleres y Seminarios 
Expedientes FOMUVI 
Gobierno Abierto 
Licitaciones y Concursos 
MonoTasa Comercios 
Personal 
Registro Cultural Belgranense 
T.I.S.H. 
Tributario",,,,,,
General Guido,3174.0,True,,,,,,,,
General La Madrid,11628.0,True,,,,,,,,
General Las Heras,18022.0,True,,,,,,,,
General Lavalle,4870.0,True,,,,,,,,
General Madariaga,22624.0,True,,,,,,,,
General Paz,14207.0,True,,,,,,,,
Guaminí,11801.0,True,,,,,,,,
Las Flores,27239.0,True,,,,,,,,
Lezama,6221.0,True,,,,,,,,
Lincoln,45506.0,True,,,,,,,,
Lobería,18243.0,True,,,,,,,,
Lobos,41760.0,True,,,,,,,,
Magdalena,26613.0,True,,,,,,,,
Mar Chiquita,33110.0,True,,,,,,,,
Navarro,19899.0,True,,,,,,,,
Pellegrini,7143.0,True,,,,,,,,
Pinamar,39449.0,True,,,,,,,,
Puán,16613.0,True,,,,,,,,
Punta Indio,12297.0,True,,,,,,,,
Rauch,16635.0,True,,,,,,,,
Rivadavia,19849.0,True,,,,,,,,
Roque Pérez,12631.0,True,,,,,,,,
Saavedra,22347.0,True,,,,,,,,
Saladillo,13977.0,True,,,,,,,,
San Andrés de Giles,26510.0,True,,,,,,,,
San Cayetano,8994.0,True,,,,,,,,
San Miguel del Monte,24868.0,True,,,,,,,,
Suipacha,11786.0,True,,,,,,,,
Tapalque,35656.0,True,,,,,,,,
Tordillo,2542.0,True,,,,,,,,
Tornquist,14810.0,True,,,,,,,,
Trenque Lauquen,49499.0,True,,,,,,,,
Veinticinco de Mayo,10783.0,True,,,,,,,,
Villarino,32717.0,True,,,,,,,,
Alberti,12982.0,False,,,,,,,,
Alem,17266.0,False,,,,,,,,
Baradero,40002.0,False,,,,,,,,
Benito Juárez,22292.0,False,,,,,,,,
Bragado,46504.0,False,,,,,,,,
Capitán Sarmiento,15965.0,False,,,,,,,,
Carlos Tejedor,1479.0,False,,,,,,,,
Castelli,9594.0,False,,,,,,,,
Colón,27504.0,False,,,,,,,,
Coronel Pringles,24420.0,False,,,,,,,,
Coronel Rosales,,False,,,,,,,,
Daireaux,18422.0,False,,,,,,,,
Florentino Ameghino,10790.0,False,,,,,,,,
General Alvear,37594.0,False,,,,,,,,
General Pinto,12941.0,False,,,,,,,,
General Viamonte,22249.0,False,,,,,,,,
General Villegas,35251.0,False,,,,,,,,
Gonzales Cháves,12914.0,False,,,,,,,,
Hipólito Yrigoyen,10661.0,False,,,,,,,,
Laprida,11646.0,False,,,,,,,,
Maipu,11323.0,False,,,,,,,,
Monte Hermoso,8465.0,False,,,,,,,,
Patagones,37646.0,False,,,,,,,,
Pehuajó,44783.0,False,,,,,,,,
Pila,4642.0,False,,,,,,,,
Ramallo,39730.0,False,,,,,,,,
Rojas,25627.0,False,,,,,,,,
Salliqueló,9427.0,False,,,,,,,,
Salto,39425.0,False,,,,,,,,
San Antonio de Areco,26671.0,False,,,,,,,,
Tres Arroyos,62426.0,False,,,,,,,,
Tres Lomas,9164.0,False,,,,,,,,
Villa Gesell,37463.0,False,,,,,,,,
